2025-09-22 09:01:34,000 - [lgbm.py] 일부 선박의 '총톤수' 또는 'LOA' 정보가 없어 평균값으로 대체합니다:
2025-09-22 09:01:34,000 - - 선사: HMM, 선명: HMM DAVAO
2025-09-22 09:01:34,000 - - 선사: FES, 선명: ZHONG CHUAN HAI YUN
2025-09-22 09:01:34,000 - - 선사: ONE, 선명: NAVIOS LAPIS
2025-09-22 09:01:34,000 - - 선사: ONE, 선명: NYK VESTA
2025-09-22 09:01:34,000 - - 선사: ONE, 선명: CALLAO BRIDGE
2025-09-22 09:01:34,000 - - 선사: HMM, 선명: SEASPAN BRILLIANCE
2025-09-23 13:15:13,324 - [lgbm.py] 일부 선박의 '총톤수' 또는 'LOA' 정보가 없어 평균값으로 대체합니다:
2025-09-23 13:15:13,324 - - 선사: FES, 선명: ZHONG CHUAN HAI YUN
2025-09-23 13:15:13,324 - - 선사: HMM, 선명: HMM DAVAO
2025-09-23 17:24:00,572 - [lgbm.py] 일부 선박의 '총톤수' 또는 'LOA' 정보가 없어 평균값으로 대체합니다:
2025-09-23 17:24:00,572 - - 선사: FES, 선명: ZHONG CHUAN HAI YUN
2025-09-23 17:24:00,572 - - 선사: HMM, 선명: HMM DAVAO
2025-09-23 17:24:00,572 - - 선사: ONE, 선명: NAVIOS LAPIS
2025-09-23 17:24:00,572 - - 선사: HMM, 선명: SEASPAN BRILLIANCE
2025-09-23 17:24:00,572 - - 선사: ONE, 선명: CALLAO BRIDGE
2025-09-23 17:24:00,572 - - 선사: ONE, 선명: NYK VESTA
2025-09-27 21:26:36,689 - 일부 선박의 '총톤수' 또는 'LOA' 정보가 없어 평균값으로 대체:
2025-09-27 21:26:36,690 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:26:36,690 - - 선사: ONE, 선명: ONE SWAN
2025-09-27 21:26:36,690 - - 선사: HMM, 선명: HMM SKY
2025-09-27 21:26:36,690 - - 선사: YML, 선명: YM ORCHID
2025-09-27 21:26:36,690 - - 선사: EMC, 선명: EVER STRONG
2025-09-27 21:26:36,690 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:26:36,690 - - 선사: ONE, 선명: TS NINGBO
2025-09-27 21:26:36,690 - - 선사: YML, 선명: YM FOUNTAIN
2025-09-27 21:26:36,690 - - 선사: SKR, 선명: ATLANTIC SOUTH
2025-09-27 21:26:36,690 - - 선사: YML, 선명: YM MATURITY
2025-09-27 21:26:36,690 - - 선사: EMC, 선명: EVER STEADY
2025-09-27 21:26:36,690 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:26:36,690 - - 선사: MSC, 선명: MSC SPARKLE III
2025-09-27 21:26:36,690 - - 선사: YML, 선명: YM MILESTONE
2025-09-27 21:26:36,690 - - 선사: HMM, 선명: SEASPAN BREEZE
2025-09-27 21:26:36,690 - - 선사: HMM, 선명: HMM JAKARTA
2025-09-27 21:26:36,690 - - 선사: FES, 선명: KAPITAN BYANKIN
2025-09-27 21:26:36,690 - - 선사: YML, 선명: YM UNICORN
2025-09-27 21:26:36,690 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:26:36,690 - - 선사: ONE, 선명: HYUNDAI PLUTO
2025-09-27 21:26:36,690 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:26:36,690 - - 선사: ONE, 선명: CONTI CORTESIA
2025-09-27 21:26:36,690 - - 선사: ONE, 선명: PHOEBE
2025-09-27 21:26:36,690 - - 선사: YML, 선명: YM TOTALITY
2025-09-27 21:26:36,690 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:26:36,690 - - 선사: HMM, 선명: SEASPAN BELLWETHER
2025-09-27 21:26:36,690 - - 선사: YML, 선명: YM MANDATE
2025-09-27 21:26:36,690 - - 선사: SKR, 선명: PACIFIC SINGAPORE
2025-09-27 21:26:36,690 - - 선사: ZIM, 선명: SHANGHAI
2025-09-27 21:26:36,690 - - 선사: YML, 선명: YM ORCHID
2025-09-27 21:26:36,690 - - 선사: EMC, 선명: EVER STRONG
2025-09-27 21:26:36,691 - - 선사: ONE, 선명: TS NINGBO
2025-09-27 21:26:36,691 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:26:36,691 - - 선사: ONE, 선명: ONE APUS
2025-09-27 21:26:36,691 - - 선사: YML, 선명: YM FOUNTAIN
2025-09-27 21:26:36,691 - - 선사: HMM, 선명: HMM LEAF
2025-09-27 21:26:36,691 - - 선사: EMC, 선명: ITAL USODIMARE
2025-09-27 21:26:36,691 - - 선사: MSC, 선명: MSC QUITTERIE
2025-09-27 21:26:36,691 - - 선사: HMM, 선명: HYUNDAI HONGKONG
2025-09-27 21:26:36,691 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:26:36,691 - - 선사: TSL, 선명: TS DALIAN
2025-09-27 21:26:36,691 - - 선사: HMM, 선명: SEASPAN BEAUTY
2025-09-27 21:26:36,691 - - 선사: YML, 선명: YM TRUST
2025-09-27 21:26:36,691 - - 선사: RCL, 선명: VIRA BHUM
2025-09-27 21:26:36,691 - - 선사: EMC, 선명: EVER STEADY
2025-09-27 21:30:15,325 - 일부 선박의 '총톤수' 또는 'LOA' 정보가 없어 평균값으로 대체:
2025-09-27 21:30:15,326 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:30:15,326 - - 선사: ONE, 선명: ONE SWAN
2025-09-27 21:30:15,326 - - 선사: HMM, 선명: HMM SKY
2025-09-27 21:30:15,326 - - 선사: YML, 선명: YM ORCHID
2025-09-27 21:30:15,326 - - 선사: EMC, 선명: EVER STRONG
2025-09-27 21:30:15,326 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:30:15,326 - - 선사: ONE, 선명: TS NINGBO
2025-09-27 21:30:15,326 - - 선사: YML, 선명: YM FOUNTAIN
2025-09-27 21:30:15,326 - - 선사: SKR, 선명: ATLANTIC SOUTH
2025-09-27 21:30:15,326 - - 선사: YML, 선명: YM MATURITY
2025-09-27 21:30:15,326 - - 선사: EMC, 선명: EVER STEADY
2025-09-27 21:30:15,326 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:30:15,326 - - 선사: MSC, 선명: MSC SPARKLE III
2025-09-27 21:30:15,326 - - 선사: YML, 선명: YM MILESTONE
2025-09-27 21:30:15,326 - - 선사: HMM, 선명: SEASPAN BREEZE
2025-09-27 21:30:15,326 - - 선사: HMM, 선명: HMM JAKARTA
2025-09-27 21:30:15,326 - - 선사: FES, 선명: KAPITAN BYANKIN
2025-09-27 21:30:15,326 - - 선사: YML, 선명: YM UNICORN
2025-09-27 21:30:15,326 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:30:15,326 - - 선사: ONE, 선명: HYUNDAI PLUTO
2025-09-27 21:30:15,326 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:30:15,326 - - 선사: ONE, 선명: CONTI CORTESIA
2025-09-27 21:30:15,326 - - 선사: ONE, 선명: PHOEBE
2025-09-27 21:30:15,326 - - 선사: YML, 선명: YM TOTALITY
2025-09-27 21:30:15,326 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:30:15,326 - - 선사: HMM, 선명: SEASPAN BELLWETHER
2025-09-27 21:30:15,326 - - 선사: YML, 선명: YM MANDATE
2025-09-27 21:30:15,326 - - 선사: SKR, 선명: PACIFIC SINGAPORE
2025-09-27 21:30:15,326 - - 선사: ZIM, 선명: SHANGHAI
2025-09-27 21:30:15,326 - - 선사: YML, 선명: YM ORCHID
2025-09-27 21:30:15,326 - - 선사: EMC, 선명: EVER STRONG
2025-09-27 21:30:15,326 - - 선사: ONE, 선명: TS NINGBO
2025-09-27 21:30:15,326 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:30:15,327 - - 선사: ONE, 선명: ONE APUS
2025-09-27 21:30:15,327 - - 선사: YML, 선명: YM FOUNTAIN
2025-09-27 21:30:15,327 - - 선사: HMM, 선명: HMM LEAF
2025-09-27 21:30:15,327 - - 선사: EMC, 선명: ITAL USODIMARE
2025-09-27 21:30:15,327 - - 선사: MSC, 선명: MSC QUITTERIE
2025-09-27 21:30:15,327 - - 선사: HMM, 선명: HYUNDAI HONGKONG
2025-09-27 21:30:15,327 - - 선사: ONE, 선명: TS DALIAN
2025-09-27 21:30:15,327 - - 선사: TSL, 선명: TS DALIAN
2025-09-27 21:30:15,327 - - 선사: HMM, 선명: SEASPAN BEAUTY
2025-09-27 21:30:15,327 - - 선사: YML, 선명: YM TRUST
2025-09-27 21:30:15,327 - - 선사: RCL, 선명: VIRA BHUM
2025-09-27 21:30:15,327 - - 선사: EMC, 선명: EVER STEADY
