호출부호,선사,선명,총톤수,LOA
DCQP2,HLC,ESSENEXPRESS,143262,366
5LKJ9,ONE,RDOACE,112967,336
5LFP2,HLC,TAYMAEXPRESS,141077,366
D5CE3,ONE,GSLCHLOE,26374,209
5LLM5,HLC,AINSNANEXPRESS,141650,366
A8OR7,YML,YMUTILITY,90507,333
UBOW6,FES,FESCOYANINA,9522,142
V7YB6,ONE,CALIDRIS,35878,213
V7A2935,HMM,INFERRO,19035,171
MEED8,HMM,HYUNDAIJUPITER,110632,324
5BEX4,ONE,MARINAONE,28007,222
5LDS8,HLC,TANGIEREXPRESS,141077,366
D5BA3,HMM,PELICAN,16770,172
V2CW5,HLC,LANTAUBAY,9610,143
5LAM7,HMM,HMMHANUL,152003,366
D5OS4,ONE,MARIAC,27003,210
5LDX9,HLC,ALULAEXPRESS,141077,368
D5IR3,MSC,MSCOLIA,35991,231
D5CE3,ONE,GSLCHLOE,26374,209
3FKA6,HMM,POSHOCHIMINH,18085,172
5LFC6,ONE,CONTICRYSTAL,90449,334
D7CX,HMM,HYUNDAIVANCOUVER,72634,293
D7HB,HMM,HMMBANGKOK,75308,303
MEDZ8,HMM,HYUNDAIPLUTO,110632,324
5LCZ4,YML,YMTOGETHER,118524,333
UBOW6,FES,FESCOYANINA,9522,142
D5PZ5,HMM,ASSUSANNA,18123,175
D7SP,HMM,PANCONCHAMPION,18606,172
VRPF7,YML,YMWINDOW,145136,367
5LCI2,ONE,SEABREEZE,27104,199
3FTZ5,ONE,STSUCCESS,27104,200
D5PZ5,ONE,ASSUSANNA,18123,175
3FIW4,ONE,ONEHELSINKI,96801,335
V2CW5,HLC,LANTAUBAY,9610,143
VRVC9,ONE,ONEFOREVER,154724,366
5BZM3,HMM,HYUNDAISHANGHAI,74651,304
3FTY6,ONE,SANDIEGOBRIDGE,71787,293
V7YB6,ONE,CALIDRIS,35878,213
3FXN9,EMC,EVERURBAN,69246,285
D5CE3,ONE,GSLCHLOE,26374,209
7KBO,ONE,ONEMADRID,152068,366
V7QC3,HMM,HYUNDAIGRACE,52581,294
MGGA6,HMM,HYUNDAIMARS,110632,324
9LU2672,FES,VLADIVOSTOK,16542,184
D5OS4,ONE,MARIAC,27003,210
5LLI4,HLC,JEBELALI,141077,366
5LPS6,HMM,HMMAMETHYST,126995,335
V7GQ8,ONE,WIDEHOTEL,51872,255
VROO6,YML,YMWORTH,145324,368
D5YY9,HMM,HMMGAON,152003,366
3EWX3,ONE,SPARKLE,27104,199
V7A2661,HMM,INCEDA,19035,171
V7PT8,HMM,HYUNDAIFORCE,95681,340
5LDS9,HLC,ALQIBLAEXPRESS,141077,366
5LCI2,ONE,SEABREEZE,27104,199
D5CE3,ONE,GSLCHLOE,26374,209
5LFF8,YML,YMTHRONE,118524,333
9LU2672,FES,VLADIVOSTOK,16542,184
MGGA4,HMM,HYUNDAIEARTH,110632,324
