호출부호,선사,선명,총톤수,LOA
VROG7,ONE,SEASPANBEAUTY,113042,337
5LMW3,MSC,MSCCARMELITA,155492,366
3FIP4,MSC,MSCGIANNINAII,18334,175
D5BL4,MSC,MSCMONTEREY,50963,275
DIXP2,HLC,BUENOSAIRESEXPRESS,123560,335
CQXO,ZIM,DANUBE,52228,123
D5HF5,HLC,COYHAIQUE,93685,300
3FRF8,COH,SONGYUNHE,16737,184
A8YD3,MSC,MSCBARI,153115,366
CQEP5,MSC,MSCBASELV,40807,261
5LPM6,MSC,MSCLELLA,155492,366
A8JE8,MSC,MSCKYMEAII,18480,177
5LKW3,MSC,MSCCHIYO,155492,366
5LHF8,MSC,MSCKALAMATAVII,74656,304
VROG8,ONE,SEASPANBELLWETHER,113042,337
5LCL3,MSC,MSCYANGR,40085,257
5LFP3,MSC,MSCAAYA,150783,366
D5NI2,MSC,MSCTOPAZ,141754,366
5LFP4,MSC,MSCSOFIA,150783,300
VROD3,ONE,SEASPANBELIEF,113042,337
A8WZ8,MSC,JANRITSCHER,25705,208
3FUF2,MSC,MSCBEATRICE,151559,366
3EHF2,MSC,MSCJOANNA,108930,337
VRUN4,ONE,ONEAMAZON,114643,330
5LHG3,MSC,NAVARINO,91354,335
A8UX4,MSC,MSCSAVONA,153115,366
CQEY5,MSC,MSCGISELLE,94469,300
7KIX,ONE,ONECOLUMBA,146694,364
A8TL8,MSC,MSCCORDELIAIII,28596,222
5BCQ5,MSC,MSCDARDANELLES,75484,299
5LNM9,MSC,MSCIVA,155084,363
D5QH6,MSC,MSCEMMA,141649,366
D5ES9,MSC,MSCCHERYL3,25630,207
5LIV6,MSC,MSCTAYLOR,150783,366
D5YU7,MSC,EPAMINONDAS,80942,299
5LLO6,MSC,MSCMAPUTO,75154,272
DIGX2,MSC,MSCLASPEZIA,153733,366
A8IM4,MSC,MSCDURBANIV,42382,269
5LES9,MSC,MSCCOLETTEIII,32284,211
DIIC2,HLC,MONTEVIDEOEXPRESS,123560,335
CQGL,MSC,MSCODESSAV,41331,262
3FYW9,MSC,MSCANIELLO,40631,259
5LKJ9,ONE,RDOACE,112967,336
VRNL9,ONE,SEASPANBRIGHTNESS,113042,337
3ESJ8,MSC,MSCNAGOYAV,40165,260
CQEU7,MSC,MSCLETIZIA,96331,300
D5SI8,MSC,MSCSYDNEYVI,66278,278
C6FI8,HLC,POSORJAEXPRESS,124012,335
VRRQ7,ONE,SEASPANRAPTOR,113828,330
3FER7,MSC,MSCSOLA,131771,364
5LLV2,ZIM,SPARROW,49877,238
5LGX7,MSC,MSCSOMYAIII,25361,207
5LPR5,MSC,MSCNAPOLI,151702,366
5LFO9,MSC,MSCFATMA,150783,366
D7EW,HMM,HMMBLESSING,114023,330
5LJP8,MSC,MSCNOAARIELA,155492,366
9HA3184,MSC,ETOILE,26836,210
VRUN3,ONE,ONEORINOCO,114643,330
5LMP4,MSC,MSCLYSEV,50963,275
5LNQ4,MSC,MSCMAGNITUDEVII,75590,300
C4TB2,MSC,MSCLILOUIII,35824,220
3EVX2,MSC,MSCALGHERO,96375,300
DIDK2,MSC,MSCGENOVA,153733,366
HPMP,MSC,MSCMAUREEN,75590,300
V7A5131,HLC,MANZANILLOEXPRESS,123560,335
CQQR,MSC,MSCAGAMEMNON,90118,318
D5YU6,MSC,MARIANNAI,80942,300
5LEB9,MSC,MSCVICTORIA,152165,364
3FKG,MSC,MSCEMANUELA,151559,366
A8IX9,MSC,MSCMARGARITA,67466,276
9HA3347,HLC,VALOR,95390,300
5LBX4,MSC,MSCVAIGAIII,28927,222
5LIU9,MSC,MSCKAYLEY,150783,366
V7A5133,HLC,ITAJAIEXPRESS,123560,335
D5ND7,MSC,MSCVIVIANA,187587,400
